file_path,language,time_stamp,content,translation
datasets\Corpus\adult\audio\test_split\AD23060.wav,en,0.000-2.280,filled with the mysterious symbols and,filled with the mysterious symbols and
datasets\Corpus\adult\audio\test_split\AD23065.wav,en,0.000-2.240,"after searching high and low, उन्होंने","After searching high and low, he"
datasets\Corpus\adult\audio\test_split\AD23069.wav,en,0.000-1.500,behind a book slip.,behind a book slip.
datasets\Corpus\adult\audio\test_split\AD23071.wav,hi,0.000-3.200,उन्होंने जंगल के एक अंदर और गहरा प्रवेश किया,They entered deeper into the forest.
datasets\Corpus\adult\audio\test_split\AD23073.wav,hi,0.000-1.220,कई घंटों के,for many hours.
datasets\Corpus\adult\audio\test_split\AD23074.wav,hi,0.000-3.500,अन्वेशन के बाद उन्होंने जंगल के मध्या,After Running he ran through the forest
datasets\Corpus\adult\audio\test_split\AD23080.wav,en,0.000-1.120,is the strongest,is the strongest
datasets\Corpus\adult\audio\test_split\AD23081.wav,en,0.000-2.000,magic of oil,Magic of Ore.
datasets\Corpus\adult\audio\test_split\AD23083.wav,en,0.000-1.500,of one man standing,of one man standing
datasets\Corpus\adult\audio\test_split\AD23086.wav,hi,0.000-2.460,और एक image दो बच्चे बैठे हैं,and one image of two kids sitting
datasets\Corpus\adult\audio\test_split\AD23091.wav,no,0.000-1.160,"Oho, flying jet!","Oho, flying jet!"
datasets\Corpus\adult\audio\test_split\AD25001.wav,hi,0.000-1.880,फेवरेट फेस्टिवल दिपाउली है,My favourite festival is Diwali.
datasets\Corpus\adult\audio\test_split\AD25005.wav,en,0.000-1.100,related with joy,related with joy
datasets\Corpus\adult\audio\test_split\AD25017.wav,hi,0.000-2.060,इस सीरीज में डायलोग डिलिवरी है और उसका जो,In this series there is dialogue delivery
datasets\Corpus\adult\audio\test_split\AD25020.wav,en,0.000-2.000,"family, parents and","family, parents and"
datasets\Corpus\adult\audio\test_split\AD25022.wav,hi,0.000-3.200,मेरा प्राप्ति श्रजापुर है,My hometown is Shalyaapur.
datasets\Corpus\adult\audio\test_split\AD25029.wav,hi,0.000-1.320,और हमारे यहाँ,and here we have
datasets\Corpus\adult\audio\test_split\AD25034.wav,no,0.000-1.840,I like vegetarian food.,I like vegetarian food.
datasets\Corpus\adult\audio\test_split\AD25039.wav,tl,0.000-0.820,E salto.,and jump!
datasets\Corpus\adult\audio\test_split\AD25052.wav,hi,0.000-2.640,पर उन्होंने किहमत नहीं आरी जब वो गुफा में पहुँचे,but they didn't give up when they reached the cave
datasets\Corpus\adult\audio\test_split\AD25059.wav,en,0.000-4.440,"Slowly and steadily, the secret of the cave began to unfold before them.","Slowly and steadily, the secret of the cave began to unfold before them."
datasets\Corpus\adult\audio\test_split\AD25073.wav,en,0.000-1.220,"While exploring the attic,","While exploring the attic,"
datasets\Corpus\adult\audio\test_split\AD25078.wav,en,0.000-2.320,the symbols finally translating a passage that,the symbols finally translating a passage that
datasets\Corpus\adult\audio\test_split\AD25079.wav,en,0.000-1.800,Spoke of hidden portal to the magic world.,spoke of hidden portal to the magic world
datasets\Corpus\adult\audio\test_split\AD25079.wav,id,1.920-3.240,Surah Asthanya par Veer or Dia.,Surah Astana par Veer or Dia
datasets\Corpus\adult\audio\test_split\AD25083.wav,pa,0.000-3.300,ਉੱਨੇ ਸਿਟੀ ਕੀਨਾਰੇ ਏਕ ਓਲਡ ਅਮੇਡਨਿਟ ਹਾੱਸ ਕੋਜ ਨਿਕਾਲਾ,found an old abandoned house near the city.
datasets\Corpus\adult\audio\test_split\AD25085.wav,en,0.000-2.640,They explored the old house discovering hidden passage beneath.,They explored the old house discovering hidden passage beneath.
datasets\Corpus\adult\audio\test_split\AD25091.wav,hi,0.000-2.320,महल के द्वार पर उनका एक पुराना बुद्धिमान,"At the door of the palace, he saw an old wise man."
datasets\Corpus\adult\audio\test_split\AD25093.wav,en,0.000-1.520,The wizard welcomed them.,The wizard welcomed them.
datasets\Corpus\adult\audio\test_split\AD25096.wav,en,0.000-1.600,is the strongest magic of all.,is the strongest magic of all.
datasets\Corpus\adult\audio\test_split\AD25097.wav,hi,0.000-4.620,इस इमेज में एक आदमी खड़ा हुआ है और एक सुनसान से इलाके में खड़ा हुआ है,"In this image, a man is standing in a deserted area."
datasets\Corpus\adult\audio\test_split\AD25099.wav,hi,0.000-2.000,मुझे लगता है वो अपने घर को बहुत मिस्स करता है,I think he misses his home a lot.
datasets\Corpus\adult\audio\test_split\AD25102.wav,hi,0.000-1.180,इस image में दो बच्चे हैं,in this image there are two children
datasets\Corpus\adult\audio\test_split\AD25103.wav,hi,0.000-1.320,खाना खाने की कोशिश कर रहे हैं,trying to eat food
datasets\Corpus\adult\audio\test_split\AD25117.wav,en,0.000-2.900,thing that he wanted very badly.,thing that he wanted very badly.
datasets\Corpus\adult\audio\test_split\AD25125.wav,tl,0.000-1.040,hanging around it,hanging around it
datasets\Corpus\adult\audio\test_split\AD26002.wav,hi,0.000-1.100,होली एंड दिवाली,Holi and Diwali
datasets\Corpus\adult\audio\test_split\AD26006.wav,en,0.000-1.040,Festival of Colour.,Festival of Colour.
datasets\Corpus\adult\audio\test_split\AD26013.wav,en,0.000-2.460,My hometown is Balia,My hometown is Balia
datasets\Corpus\adult\audio\test_split\AD26021.wav,en,0.000-1.040,is typical,is typical
datasets\Corpus\adult\audio\test_split\AD26024.wav,en,0.000-2.080,"Yes, of course, I will recommend.","Yes, of course, I will recommend"
datasets\Corpus\adult\audio\test_split\AD26034.wav,en,0.000-1.560,which is suitable for worship.,which is suitable for worship.
datasets\Corpus\adult\audio\test_split\AD26047.wav,hi,0.000-0.940,चिन्टू और राजू,Chintu and Raju.
datasets\Corpus\adult\audio\test_split\AD26050.wav,hi,0.000-1.620,बिल्कुल चुटकीयों की तरह थी,was
datasets\Corpus\adult\audio\test_split\AD26059.wav,en,0.000-2.000,they felt as if,They felt as if
datasets\Corpus\adult\audio\test_split\AD26062.wav,hi,0.000-3.760,जब वो गुफा तक पहुँच गए उन्हें गुफा से एक अजीट सी आवाज आई।,"When they reached the cave, they heard a strange voice from the cave."
datasets\Corpus\adult\audio\test_split\AD26064.wav,hi,0.000-0.880,चिन्टू और राजू,Chintu and Raju.
datasets\Corpus\adult\audio\test_split\AD26070.wav,hi,0.000-2.300,उन्हें गुफा का सिक्रेट थोड़ा और समझा गया।,he understood the secret of the cave a little more.
datasets\Corpus\adult\audio\test_split\AD26086.wav,hi,0.000-1.120,दो सिबलिंग्स रहते थे,Two siblings were left.
datasets\Corpus\adult\audio\test_split\AD26091.wav,ur,0.000-0.760,ایک گرمی کے,a summer
datasets\Corpus\adult\audio\test_split\AD26101.wav,hi,0.000-6.480,सूरज अस्थ होने पर वीर और दिया ने इस छुपी गुफा को ढूंढने की एक यात्रा पर निकलने का फैसला किया।,"After sunset, Veer and Diya decided to set out on a journey to find this hidden cave."
datasets\Corpus\adult\audio\test_split\AD26106.wav,nl,0.000-2.040,discovering a hidden passage behind a,discovering a hidden passage behind a
datasets\Corpus\adult\audio\test_split\AD26125.wav,hi,0.000-2.660,उनका एक पुराने बुद्धिमान विद्वान ने स्वागत किया,was welcomed by an old wise scholar.
datasets\Corpus\adult\audio\test_split\AD26130.wav,en,0.000-1.200,is the strongest,is the strongest
datasets\Corpus\adult\audio\test_split\AD26131.wav,fa,0.000-0.880,مزید گفال,That's all.
datasets\Corpus\adult\audio\test_split\AD26134.wav,hi,0.000-0.920,तका हुआ है,This is what happened.
datasets\Corpus\adult\audio\test_split\AD26137.wav,af,0.000-0.720,in his work.,in his work.
datasets\Corpus\adult\audio\test_split\AD26155.wav,hi,0.000-2.540,वो किसी चीज के लिए खुश है,He is happy for something.
datasets\Corpus\adult\audio\test_split\AD26156.wav,en,0.000-1.200,so is that,so is that
datasets\Corpus\adult\audio\test_split\AD26169.wav,hi,0.000-1.620,उड़ने में या जो भी,in flying or whatever
datasets\Corpus\adult\audio\test_split\AD26177.wav,en,0.000-1.640,artificially decorated.,artificially decorated.
datasets\Corpus\adult\audio\test_split\AD27006.wav,ur,0.000-4.580,اور بہت سارے پتاکیں پھوڑے پوجا کر لچمی ماتا کی اور انجوئی کیا,"I blew a lot of crackers, prayed to Goddess Lakshmi and enjoyed."
datasets\Corpus\adult\audio\test_split\AD27011.wav,en,0.000-1.780,What's so special about the place?,What's so special about the place?
datasets\Corpus\adult\audio\test_split\AD27014.wav,ur,0.000-1.980,مطرہ بہت سپیسل پلیس ہے,Mathura is a very special place
datasets\Corpus\adult\audio\test_split\AD27016.wav,hi,0.000-1.860,के बारे में सब कुछ,about this
datasets\Corpus\adult\audio\test_split\AD27017.wav,hi,0.000-2.640,जन्ममी के अंदर मिलता है पूरी इनफॉर्मेशन,in Janmabhoomi
datasets\Corpus\adult\audio\test_split\AD27024.wav,hi,0.000-1.520,ये मेरा favorite डिस है,So this is my favorite design
datasets\Corpus\adult\audio\test_split\AD27030.wav,es,0.000-0.980,especially,especially
datasets\Corpus\adult\audio\test_split\AD27042.wav,hi,0.000-2.280,इसे सुनके दोनों ने सुचा कि ये उनका next पर पर्वार नहीं है।,"After listening to this, they both thought that this was their next"
datasets\Corpus\adult\audio\test_split\AD27055.wav,hi,0.000-2.620,तो बच्चो ये थी चिंटू राजू के अन्नो की गुफा की गहानी,"So, this was the story of Chintu Raju's Annauki Guffa."
datasets\Corpus\adult\audio\test_split\AD27061.wav,en,0.000-2.520,with what if I known for his curiosity and the,with what if I known for his curiosity and the
datasets\Corpus\adult\audio\test_split\AD27063.wav,pa,0.000-2.660,ਇੱ ਗਰਮੀ ਕੇ ਦੀਨ ਕੇ ਦੋਪੈਡ ਮੇ ਵਾਲ ਏਕਸਪੋਰਿਂਗ ਦਾ,"In the afternoon of a hot day, while exploring the"
datasets\Corpus\adult\audio\test_split\AD27073.wav,en,0.000-3.360,"By stepping through the passage, they found themselves in a lush magical forest.","By stepping through the passage, they found themselves in a lush magical forest."
datasets\Corpus\adult\audio\test_split\AD27075.wav,ur,0.000-2.520,جہاں انہیں قلب پرچوں جادی درشوں کو سامنا کیا,Where they saw empre 1969
datasets\Corpus\adult\audio\test_split\AD27076.wav,ur,0.000-1.640,کئی گھنٹوں کے انویشر کے بعد,After several hours of innovation
datasets\Corpus\adult\audio\test_split\AD27084.wav,en,0.000-2.160,is the strongest magic of all.,is the strongest magic of all.
datasets\Corpus\adult\audio\test_split\AD27088.wav,ne,0.000-0.700,सुन्दर्ता को,Sundar Thakur
datasets\Corpus\adult\audio\test_split\AD27092.wav,ur,0.000-1.720,کچھ کھا رہا ہے ٹیبل پر بیٹھ کر,Eating something on the table
datasets\Corpus\adult\audio\test_split\AD27095.wav,hi,0.000-0.940,किसी चीज के लिए,for something
datasets\Corpus\adult\audio\test_split\AD27098.wav,en,0.000-2.800,Can you describe this image? What are your thoughts about it?,Can you describe this image? What are your thoughts about it?
datasets\Corpus\adult\audio\test_split\AD28004.wav,hi,0.000-1.720,यह हम रमजान के बाद मनाते हैं,We celebrate this after Ramzan
datasets\Corpus\adult\audio\test_split\AD28007.wav,ur,0.000-2.800,ہم سوٹ ڈاؤن ڈا ویسٹ ڈاؤن اور ہم لوگ سوائیاں کھاتے ہیں,We sit down and eat the food.
datasets\Corpus\adult\audio\test_split\AD28008.wav,en,0.000-1.120,It's a very good festival.,It's a very good festival.
datasets\Corpus\adult\audio\test_split\AD28011.wav,hi,0.000-5.560,वाइटिंग सीरीज है लाइक वाइटिंग सीरीज बट नॉट ऑलवेज पहले मैं देखता हूं कौन सीरीज,I like watching series but not always
datasets\Corpus\adult\audio\test_split\AD28020.wav,hi,0.000-5.500,या अब मैं होम टाइम शुरू आई बिलॉक फ्रॉम वारानसी यूपी जैसे आपको पता है यूपी वारानसी,"About my home town, I belong to Varanasi, UP"
datasets\Corpus\adult\audio\test_split\AD28031.wav,hi,0.000-3.520,फूड के बारे में तो मैं बिसिकली मैं ब्रियानी प्रसिद्ध करता हूँ,I like Biryani for food.
datasets\Corpus\adult\audio\test_split\AD28050.wav,ur,0.000-1.280,میں ہوں گفہ کا گارڈین,I am Guffa's guardian
datasets\Corpus\adult\audio\test_split\AD28051.wav,ur,0.000-1.480,تم دونوں کی یہاں راج پیدا چلیں گے,You will find out the secret here.
datasets\Corpus\adult\audio\test_split\AD28063.wav,ur,0.000-1.280,اور مضبوط ہو گئی,and became stronger.
datasets\Corpus\adult\audio\test_split\AD28071.wav,en,0.000-3.120,known for its curiosity and the Choti Bank.,known for its curiosity and the Choti Bank.
datasets\Corpus\adult\audio\test_split\AD28074.wav,en,0.000-2.000,कि दुपहर में while exploring the,in the afternoon while exploring the
datasets\Corpus\adult\audio\test_split\AD28083.wav,ur,0.000-4.500,اگر وہ سوچنگ کرتے ہیں تو وہ سٹی کے کنارے ایک سال,"After searching high and low, he found an old"
datasets\Corpus\adult\audio\test_split\AD28085.wav,sw,0.000-0.660,Kujinikala.,purple
datasets\Corpus\adult\audio\test_split\AD28088.wav,en,0.000-3.520,discovering a hidden passage behind a bookshelf,discovering a hidden passage behind a bookshelf
datasets\Corpus\adult\audio\test_split\AD28098.wav,hi,0.000-4.720,इस इमेज में मुझे यह लग रहा है कि एक आदमी है जो,So in this image I feel that there is a man who
datasets\Corpus\adult\audio\test_split\AD28106.wav,ur,0.000-1.720,اداس ہے پرسانس ہے,Sadness or depressed
datasets\Corpus\adult\audio\test_split\AD28112.wav,hi,0.000-1.800,और दूसरा लग काफी इंजॉय कर रहा है,and he is enjoying the other area
datasets\Corpus\adult\audio\test_split\AD28113.wav,en,0.000-1.200,and,and
datasets\Corpus\adult\audio\test_split\AD28120.wav,hi,0.000-1.580,एक बच्चा जो काफी हैपी मुदी में,This kid is in a very happy mood.
datasets\Corpus\adult\audio\test_split\AD28121.wav,hi,0.000-3.200,"वह इसमाइल भी कर रहा है, आज वह किसी के सामने है",He is smiling too. I think he is in front of someone.
datasets\Corpus\adult\audio\test_split\AD28124.wav,hi,0.000-1.500,कुछ इसी मुर्वें बच्चा लग रहा है कि,It looks like a baby at this point.
datasets\Corpus\adult\audio\test_split\AD28126.wav,hi,0.000-1.900,मनी मिले,and get the money.
datasets\Corpus\adult\audio\test_split\AD28129.wav,hi,0.000-3.600,जिसे होता है नहीं हो या हो कहकर प्लाई करना कुछ वैसा यह कह रहा है,it is like
datasets\Corpus\adult\audio\test_split\AD30001.wav,da,0.000-2.000,so here i begin,so here i begin
datasets\Corpus\adult\audio\test_split\AD30009.wav,en,0.000-1.900,तो उस टाइम पे we celebrate this,So at that time we celebrate this.
datasets\Corpus\adult\audio\test_split\AD30010.wav,so,0.000-0.500,So,So
datasets\Corpus\adult\audio\test_split\AD30011.wav,en,0.000-6.080,yeah i would say holy is the best festival or the my favorite festival and if i talk about the,yeah i would say holy is the best festival or the my favorite festival and if i talk about the
datasets\Corpus\adult\audio\test_split\AD30015.wav,hi,0.000-1.820,इसे कैसे मैं भूलता हूं लेंगे लेकिन,how do i celebrate holy but
datasets\Corpus\adult\audio\test_split\AD30017.wav,mr,0.000-0.640,धरीला,Dharila
datasets\Corpus\adult\audio\test_split\AD30023.wav,en,0.000-2.000,and then we worship them,and then we worship them
datasets\Corpus\adult\audio\test_split\AD30034.wav,en,0.000-1.640,Harilla festival then,Harilla festival then
datasets\Corpus\adult\audio\test_split\AD30038.wav,af,0.000-1.760,is like somewhere,is like somewhere
datasets\Corpus\adult\audio\test_split\AD30041.wav,en,0.000-0.960,This is what I feel.,This is what I feel it is the way which unites.
datasets\Corpus\adult\audio\test_split\AD30052.wav,en,0.000-2.840,"If you like horror, it is in the series.","If you like horror, it is in the series."
datasets\Corpus\adult\audio\test_split\AD30059.wav,en,0.000-2.100,"So, Nainital is my hometown.","So, Nainital is my hometown."
datasets\Corpus\adult\audio\test_split\AD30060.wav,en,0.000-3.380,The best place what I'll say for Nainital is the,The best place what I'll say for Nainital is the
datasets\Corpus\adult\audio\test_split\AD30064.wav,en,0.000-1.400,The reason for that is,The reason for that is
datasets\Corpus\adult\audio\test_split\AD30068.wav,hi,0.000-0.980,वेदर ओफ ब्रिटेन,weather of britain
datasets\Corpus\adult\audio\test_split\AD30069.wav,hi,0.000-1.720,तो इसलिए उन्होंने उसको डेवलप करा था,that's why they developed it
datasets\Corpus\adult\audio\test_split\AD30073.wav,en,0.000-2.320,because they were colonizing India at that time.,because they were colonizing India at that time.
datasets\Corpus\adult\audio\test_split\AD30074.wav,so,0.000-0.640,So,So
datasets\Corpus\adult\audio\test_split\AD30084.wav,en,0.000-2.320,can suggest for my hometown is,can suggest for my hometown is
datasets\Corpus\adult\audio\test_split\AD30102.wav,hi,0.000-2.660,इस प्रभाव लिटरली ज़्यानी है,Its sweetness is literally divine.
datasets\Corpus\adult\audio\test_split\AD30106.wav,en,0.000-3.320,"And basically, like, I had dreamed to visit Northeast.",and basically like I have dream to visit northeast
datasets\Corpus\adult\audio\test_split\AD30116.wav,en,0.000-4.800,and secondly i can go for like latak or the upper himalayas region,and secondly i can go for like latak or the upper himalayas region
datasets\Corpus\adult\audio\test_split\AD30129.wav,hi,0.000-1.100,जब वो गुफा तक पहुचे,When he reached the cave
datasets\Corpus\adult\audio\test_split\AD30136.wav,en,0.000-2.720,The secrets of the cave began to unfold before them.,The secrets of the cave began to unfold before them.
datasets\Corpus\adult\audio\test_split\AD30137.wav,hi,0.000-3.520,इस गुफा का राज है साथ निवाना और एक दूसरे की मदद करना,The rule of this cave is to help each other and to live together.
datasets\Corpus\adult\audio\test_split\AD30140.wav,hi,0.000-4.600,चिंटू और राजू ने इस राज को समझा और इसके बाद से उनकी रोष्टी और मजबूत हो गई।,Chintu and Raju understood this secret and their friendship became stronger.
datasets\Corpus\adult\audio\test_split\AD30150.wav,en,0.000-2.640,that spoke of a hidden portal to a magical world.,that spoke of a hidden portal to a magical world.
datasets\Corpus\adult\audio\test_split\AD30162.wav,en,0.000-3.840,hmm the first image which is in front of me,hmm the first image which is in front of me
datasets\Corpus\adult\audio\test_split\AD30163.wav,en,0.000-1.320,What I feel is that,What I feel is that
datasets\Corpus\adult\audio\test_split\AD30167.wav,en,0.000-3.120,hoping if he can find something or,hoping if he can find something or
datasets\Corpus\adult\audio\test_split\AD30169.wav,en,0.000-1.680,like is so much,like is so much
datasets\Corpus\adult\audio\test_split\AD30173.wav,en,0.000-4.640,man is standing side by probably a washing machine or a dishwasher,man is standing side by probably a washing machine or a dishwasher
datasets\Corpus\adult\audio\test_split\AD30174.wav,en,0.000-1.180,that shows home.,that shows home.
datasets\Corpus\adult\audio\test_split\AD30177.wav,en,0.000-1.360,and,and
datasets\Corpus\adult\audio\test_split\AD30181.wav,en,0.000-4.400,there are two kids one is crying and second one is giving up some,there are two kids one is crying and second one is giving up some
datasets\Corpus\adult\audio\test_split\AD30182.wav,fr,0.000-1.320,cute expressions,cute expressions
datasets\Corpus\adult\audio\test_split\AD30201.wav,en,0.000-1.700,"Yeah, the person is...","Yeah, the person is..."
datasets\Corpus\adult\audio\test_split\AD30203.wav,en,0.000-3.440,he finally got something which he wanted to have,he finally got something which he wanted to have
datasets\Corpus\adult\audio\test_split\AD30206.wav,en,0.000-3.600,the tree is in a family house and the whole family,the tree is in a family house and the whole family
datasets\Corpus\adult\audio\test_split\AD31007.wav,hi,0.000-2.000,हम रात को गए थे शौपिंग करने,We went to shop at night and then we brought the rakhi etc.
datasets\Corpus\adult\audio\test_split\AD31012.wav,hi,0.000-4.300,मेरे भाईयों के साथ होता है जोगी शायद वो ही एक दिन होता है जब हम,"I mean, it happens with my brothers."
datasets\Corpus\adult\audio\test_split\AD31015.wav,hi,0.000-2.380,फादर स्रे वैसे तो सारे दिन ही फामिलीज के होते हैं,Father's day is usually for families.
datasets\Corpus\adult\audio\test_split\AD31026.wav,hi,0.000-6.540,और वह साइंस को लेकर बहुत ज्यादा क्योर क्योर सिटी है उसमें कि मैं देखूं क्या चीज हो रही है कैसे हो रही है,and it is very cure city for science
datasets\Corpus\adult\audio\test_split\AD31027.wav,en,0.000-1.020,So that's why I,So that's why I
datasets\Corpus\adult\audio\test_split\AD31034.wav,hi,0.000-2.500,ओके सो मेरा होम टाउन न्यू डैली है,My hometown is New Delhi
datasets\Corpus\adult\audio\test_split\AD31037.wav,hi,0.000-7.380,ग्रेजुएशन पोस्ट ग्रेजुएशन दोनों वहां से हुई है तो एक समथिंग लाइक डिफरेंट बॉंड है मेरा न्यू दैली के साथ,I have a different bond with New Delhi.
datasets\Corpus\adult\audio\test_split\AD31048.wav,en,0.000-2.000,that is special,that is special
datasets\Corpus\adult\audio\test_split\AD31051.wav,af,0.000-0.960,I would like,I would like
datasets\Corpus\adult\audio\test_split\AD31052.wav,en,0.000-3.440,to recommend lots of place and,to recommend lots of place and
datasets\Corpus\adult\audio\test_split\AD31060.wav,en,0.000-1.120,and here,and here
datasets\Corpus\adult\audio\test_split\AD31063.wav,en,0.000-3.920,and it is very beautiful during the night specifically,and it is very beautiful during the night specifically
datasets\Corpus\adult\audio\test_split\AD31064.wav,hi,0.000-8.760,तो आई लाइक ऑल फूड लाइक इंडियन चाइनीज में तो इस तरह के फूड पर संज़ाए चुलिए फूडी हूं तो आई लाइक ऑल फूड बट मेरा कंफर्ट फूड है,"I like all the food like Indian, Chinese, I like all the food but I am a foodie so I like all the food but I like comfort food"
datasets\Corpus\adult\audio\test_split\AD31066.wav,en,0.000-2.000,that is my favorite,that is my favorite
datasets\Corpus\adult\audio\test_split\AD31079.wav,en,0.000-1.840,if i'm going anywhere like,if i'm going anywhere like
datasets\Corpus\adult\audio\test_split\AD31081.wav,hi,0.000-4.600,तो मुझे अच्छा लगेगा अगर मेरे फ्रेंड्स मेरे साथ होंगे तो मुझे पसंद आएगा,I will like it if my friends will be with me.
datasets\Corpus\adult\audio\test_split\AD31104.wav,hi,0.000-1.760,में रहना असली खुशी है,It is a real pleasure to stay in the garden.
datasets\Corpus\adult\audio\test_split\AD31105.wav,hi,0.000-3.600,मिलते हैं अगली कहानी में तब तक अपना ख्याल रखो दोस्तों,See you in the next video. Take care.
datasets\Corpus\adult\audio\test_split\AD31114.wav,hi,0.000-6.660,सूरज अस्थ होने पर वीर और दिया ने एक छुपी कुफा को ढूंढने की यादरा पर निकलने का फैसला किया।,"After the sun set, Veer and Daya decided to set out on a journey to find a hidden cave."
datasets\Corpus\adult\audio\test_split\AD31114.wav,hi,6.660-10.340,अफ़र सर्चिंग हाई एंड लो उन्होंने सिटी के किनारे एक ओल्ड पर दिया।,"After searching high and low, they found an old temple on the edge of the city."
datasets\Corpus\adult\audio\test_split\AD31123.wav,en,0.000-3.680,that the bond of siblings is the strongest magic of all.,that the bond of siblings is the strongest magic of all.
datasets\Corpus\adult\audio\test_split\AD31125.wav,hi,0.000-4.020,तूटी हुई वाशिंग मशीन दिख रही है जिसमें होम लिखा हुआ है,I can see a broken washing machine with the name of home written on it.
datasets\Corpus\adult\audio\test_split\AD31134.wav,hi,0.000-4.320,उनको लग रहा है कि उनकी मॉम उनको आगे हेल्प करे खाना खाने के लिए,He thinks that his mom will come and help him to eat food.
datasets\Corpus\adult\audio\test_split\AD31137.wav,hi,0.000-3.640,यहाँ एक बच्चा है जो कि किसी को देख रहा है और वो बहुत खुश है,Here is a baby who is watching someone and he is very happy.
datasets\Corpus\adult\audio\test_split\AD31140.wav,hi,0.000-4.680,ख्रिस्मस ट्री दिख रहा है बहुत अच्छे से सजाया हुआ है,You can see the Christmas tree.
datasets\Corpus\adult\audio\test_split\AD31141.wav,hi,0.000-1.680,एरोप्लेन जैसे चीजे दिख रही है,These look like aeroplanes.
datasets\Corpus\adult\audio\test_split\AD31143.wav,so,0.000-0.560,Thank you.,Thank you.
datasets\Corpus\adult\audio\test_split\AD34001.wav,hi,0.000-3.600,में मेरे विशेष दिवाली है क्योंकि हम दिवाली में है,My favorite festival is Diwali
datasets\Corpus\adult\audio\test_split\AD34002.wav,hi,0.000-8.360,बहुत सारे अपने सब रिविलेटिव्स आते हैं और सब हम बहुत इंचॉय करते हैं सब कजन्स सब भाई और सब भैन सब मिलकर बहुत,We all come here and enjoy a lot.
datasets\Corpus\adult\audio\test_split\AD34014.wav,hi,0.000-2.300,रक्षामन दन बहुत सारे फेस्टिवल्स ये सब,"Rakshabandhan, many festivals"
datasets\Corpus\adult\audio\test_split\AD34019.wav,hi,0.000-2.380,टीवी शोज में ऐसा कुछ नहीं होता क्योंकि,This is not the case in TV shows
datasets\Corpus\adult\audio\test_split\AD34023.wav,hi,0.000-1.400,लाश में क्लायम एक्स मिलता है,Climax is found in the last.
datasets\Corpus\adult\audio\test_split\AD34033.wav,hi,0.000-2.060,वहाँ पे ज्यादा ना रश है अभी,Russia is not there anymore
datasets\Corpus\adult\audio\test_split\AD34040.wav,en,0.000-2.400,it is very important for the Hinduism.,it is very important for the Hinduism.
datasets\Corpus\adult\audio\test_split\AD34045.wav,en,0.000-2.000,My favorite food is Dal Makhdi.,My favorite food is Dal Makhdi.
datasets\Corpus\adult\audio\test_split\AD34052.wav,hi,0.000-1.460,मेरा फेवरेट टेक्स नेशन,My favorite destination.
datasets\Corpus\adult\audio\test_split\AD34057.wav,hi,0.000-5.820,स्नोफॉल सबसे मेन बात होती है स्नोफॉल अगर जब भी माउंटेन लग रहते हो ने स्नोफॉल बहुत अच्छी लगती है,Snowfall is the main thing.
datasets\Corpus\adult\audio\test_split\AD34058.wav,ro,0.000-2.620,उधर अपना cold temperature रहता है,There is a cold temperature.
datasets\Corpus\adult\audio\test_split\AD34059.wav,hi,0.000-3.560,तो हम कोई भी कबड़ पहन सकते हैं अच्छे बिल्कुल,So we can wear any clothes
datasets\Corpus\adult\audio\test_split\AD34060.wav,hi,0.000-2.640,जो हमारे ऊपर अच्छे रखते हैं कोई भी कबड़े जाते हैं,which we like
datasets\Corpus\adult\audio\test_split\AD34071.wav,en,0.000-3.840,"As they walked through the jungle, they felt as if someone was watching them.","As they walked through the jungle, they felt as if someone was watching them."
datasets\Corpus\adult\audio\test_split\AD34080.wav,hi,0.000-5.640,कि दिये गए टाक्स कमप्रीट कर लिये और हर एक टाक्स के बाद उन्हें कुफा का सिक्रेट थोड़ा और,that they completed the tasks given and after every task they have to
datasets\Corpus\adult\audio\test_split\AD34083.wav,hi,0.000-4.560,"इस गुफा का राज है, साथ निभाना है और एक दूसरे की मदद करना।",The secret of this cave is to help each other.
datasets\Corpus\adult\audio\test_split\AD34085.wav,hi,0.000-3.560,चिंटो राजो ने इस राज को हमें समझा और,Chintu and Raju explained this secret to us and
datasets\Corpus\adult\audio\test_split\AD34086.wav,ur,0.000-2.880,اس کے بعد سے ان کی دوستی اور مضبوط ہو گئی,"After this, their friendship became stronger."
datasets\Corpus\adult\audio\test_split\AD34087.wav,mr,0.000-2.140,तो बच्चो ये थी चिन्तो राजुगी,"So children, this was Chintu Raju."
datasets\Corpus\adult\audio\test_split\AD34093.wav,hi,0.000-3.440,इन दी हट ओफ आ बसलिंग सिटी दो सिबलिंग रहते थे।,"In the heart of a bustling city, two siblings lived."
datasets\Corpus\adult\audio\test_split\AD34096.wav,en,0.000-2.560,while exploring the attic of their old house.,while exploring the attic of their old house.
datasets\Corpus\adult\audio\test_split\AD34099.wav,en,0.000-2.480,"Excited by their discovery, they spent hours","Excited by their discovery, they spent hours"
datasets\Corpus\adult\audio\test_split\AD34103.wav,hi,0.000-2.520,यात्रा पर निकलने का फैसला किया,decided to go on a journey.
datasets\Corpus\adult\audio\test_split\AD34105.wav,en,0.000-4.640,"With bated breath, they explored the old house, discovering a hidden passage behind a book","With bated breath, they explored the old house, discovering a hidden passage behind a book"
datasets\Corpus\adult\audio\test_split\AD34115.wav,hi,0.000-1.400,विद्वान ने स्वागत किया,Vidwan welcomed him
